year,school_name,number_of_samples_tested,number_of_elevated_samples,math_score,ela_score,percent_elevated,dbn,total_enrollment,grade_pk_half_day_full_day,grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,number_female,percent_female,number_male,percent_male,number_asian,percent_asian,number_black,percent_black,number_hispanic,percent_hispanic,number_multiple_race_categories_not_represented,percent_multiple_race_categories_not_represented,number_white,percent_white,number_students_with_disabilities,percent_students_with_disabilities,number_english_language_learners,percent_english_language_learners,number_poverty,percent_poverty,economic_need_index,school_year
2017,P.S. 151 LYNDON B. JOHNSON,61,3,283,281,0.04918032786885246,32K151,342,36,53,51,47,51,44,60,0,0,0,0,0,0,0,172,50.3,170,49.7,2,0.6,55,16.1,264,77.2,0,0,21,6.1,69,20.2,81,23.7,333,97.4,84.9,2016-17
2017,P.S. 151 MARY D. CARTER,75,7,289,295,0.09333333333333334,30Q151,419,44,59,66,68,64,71,47,0,0,0,0,0,0,0,222,53,197,47,69,16.5,98,23.4,219,52.3,7,1.7,26,6.2,93,22.2,46,11,385,91.9,70.4,2016-17
2017,P.S. 152 DYCKMAN VALLEY,123,0,289,290,0,06M152,588,45,88,88,104,93,102,68,0,0,0,0,0,0,0,287,48.8,301,51.2,2,0.3,16,2.7,560,95.2,4,0.7,6,1,135,23,171,29.1,538,91.5,87.2,2016-17
2017,P.S. 152 EVERGREEN,153,23,293,290,0.1503267973856209,08X152,936,71,146,137,147,149,139,147,0,0,0,0,0,0,0,479,51.2,457,48.8,14,1.5,147,15.7,748,79.9,13,1.4,14,1.5,202,21.6,244,26.1,760,81.2,88.4,2016-17
2017,P.S. 152 GWENDOLINE N. ALLEYNE SCHOOL,109,8,319,316,0.07339449541284404,30Q152,1205,36,160,154,226,196,208,225,0,0,0,0,0,0,0,597,49.5,608,50.5,612,50.8,7,0.6,518,43,21,1.7,47,3.9,145,12,400,33.2,695,57.7,62.9,2016-17
2017,P.S. 153 ADAM CLAYTON POWELL,161,4,297,302,0.024844720496894408,06M153,676,50,94,120,107,95,122,88,0,0,0,0,0,0,0,355,52.5,321,47.5,16,2.4,137,20.3,495,73.2,7,1,21,3.1,107,15.8,184,27.2,569,84.2,78.3,2016-17
2017,P.S. 153 HELEN KELLER,118,4,312,318,0.03389830508474576,11X153,688,17,80,108,110,115,125,133,0,0,0,0,0,0,0,332,48.3,356,51.7,65,9.4,411,59.7,168,24.4,12,1.7,32,4.7,92,13.4,11,1.6,454,66,40.3,2016-17
2017,P.S. 153 HOMECREST,79,5,316,311,0.06329113924050633,21K153,536,51,94,69,88,76,83,75,0,0,0,0,0,0,0,262,48.9,274,51.1,142,26.5,10,1.9,188,35.1,29,5.4,167,31.2,110,20.5,128,23.9,319,59.5,63.4,2016-17
2017,P.S. 153 MASPETH ELEM,176,4,321,315,0.022727272727272728,24Q153,1269,18,177,176,181,197,204,181,135,0,0,0,0,0,0,595,46.9,674,53.1,113,8.9,11,0.9,564,44.4,11,0.9,570,44.9,224,17.7,129,10.2,863,68,43.2,2016-17
2017,P.S. 154 HARRIET TUBMAN,147,1,285,299,0.006802721088435374,05M154,317,33,46,50,56,52,44,36,0,0,0,0,0,0,0,147,46.4,170,53.6,21,6.6,177,55.8,99,31.2,9,2.8,11,3.5,85,26.8,56,17.7,313,98.7,86.8,2016-17
2017,P.S. 154 JONATHAN D. HYATT,115,2,293,300,0.017391304347826087,07X154,385,34,50,65,54,61,58,63,0,0,0,0,0,0,0,177,46,208,54,1,0.3,156,40.5,217,56.4,4,1,7,1.8,84,21.8,41,10.6,377,97.9,92.2,2016-17
2017,P.S. 154 QUEENS,137,7,318,316,0.051094890510948905,25Q154,706,35,106,111,121,105,107,121,0,0,0,0,0,0,0,346,49,360,51,387,54.8,63,8.9,156,22.1,16,2.3,84,11.9,104,14.7,179,25.4,590,83.6,51.4,2016-17
2017,P.S. 155,63,8,325,315,0.12698412698412698,27Q155,538,54,70,88,83,95,73,75,0,0,0,0,0,0,0,270,50.2,268,49.8,159,29.6,133,24.7,107,19.9,131,24.3,8,1.5,69,12.8,43,8,509,94.6,45.2,2016-17
2017,P.S. 155 WILLIAM PACA,119,5,271,283,0.04201680672268908,04M155,294,13,40,51,53,41,49,47,0,0,0,0,0,0,0,145,49.3,149,50.7,5,1.7,28,9.5,253,86.1,6,2,2,0.7,93,31.6,124,42.2,288,98,86.2,2016-17
2017,P.S. 156 LAURELTON,86,11,286,298,0.12790697674418605,29Q156,287,20,36,50,47,38,51,45,0,0,0,0,0,0,0,139,48.4,148,51.6,8,2.8,260,90.6,15,5.2,4,1.4,0,0,35,12.2,18,6.3,207,72.1,45.4,2016-17
2017,P.S. 156 WAVERLY,150,16,284,290,0.10666666666666667,23K156,762,35,102,112,116,128,140,129,0,0,0,0,0,0,0,336,44.1,426,55.9,4,0.5,601,78.9,138,18.1,11,1.4,8,1,177,23.2,13,1.7,685,89.9,83.4,2016-17
2017,P.S. 157 GROVE HILL,128,0,291,295,0,07X157,644,53,82,104,104,106,100,95,0,0,0,0,0,0,0,306,47.5,338,52.5,1,0.2,207,32.1,432,67.1,3,0.5,1,0.2,136,21.1,68,10.6,615,95.5,84.5,2016-17
2017,P.S. 158 BAYARD TAYLOR,81,1,343,344,0.012345679012345678,02M158,781,71,134,122,134,107,121,92,0,0,0,0,0,0,0,367,47,414,53,99,12.7,18,2.3,60,7.7,40,5.1,564,72.2,117,15,44,5.6,81,10.4,8.5,2016-17
2017,P.S. 158 WARWICK,72,0,290,299,0,19K158,612,53,107,92,84,91,103,82,0,0,0,0,0,0,0,314,51.3,298,48.7,5,0.8,334,54.6,256,41.8,13,2.1,4,0.7,124,20.3,49,8,581,94.9,85.7,2016-17
2017,P.S. 159,58,11,336,329,0.1896551724137931,26Q159,673,44,93,97,99,107,114,119,0,0,0,0,0,0,0,339,50.4,334,49.6,387,57.5,9,1.3,114,16.9,7,1,156,23.2,79,11.7,102,15.2,354,52.6,25.8,2016-17
