Borough,Geographical District,Building Code,Building Name ,Building Address,Elevated Result,Date of Initial Test,Number of Samples Tested,Number of Elevated Samples
K,17,K316,P.S. 316 - BROOKLYN,750 CLASSON AVENUE,Yes,12/16/2016,124,9
K,13,K317,P.S. 133 WILLIAM A. BUTLER - BROOKLYN,610 BALTIC STREET,Yes,12/17/2016,164,4
K,14,K318,I.S. 318 - BROOKLYN,101 WALTON STREET,Yes,12/17/2016,107,13
K,14,K319,P.S. 319 - BROOKLYN,360 KEAP STREET,No,12/6/2016,25,0
K,17,K320,P.S. 375 - BROOKLYN,46 MCKEEVER PLACE,Yes,12/16/2016,99,9
K,15,K321,P.S. 321 - BROOKLYN,180 7 AVENUE,Yes,12/8/2016,113,2
K,16,K324,I.S. 324 - BROOKLYN,800 GATES AVENUE,Yes,11/29/2016,78,8
K,23,K327,P.S. 327 (TANDEM K396-D75)-K,111 BRISTOL STREET,Yes,12/8/2016,159,1
K,19,K328,P.S. 328 - BROOKLYN,330 ALABAMA AVENUE,Yes,12/6/2016,136,11
K,21,K329,P.S. 329 - BROOKLYN,2929 WEST 30 STREET,Yes,12/17/2016,151,7
K,20,K331,P.S./I.S.30 MARY WHITE OVINGTON - BROOKLYN,7002 4TH AVENUE,Yes,12/14/2016,182,10
K,23,K332,P.S. 332 - BROOKLYN,51 CHRISTOPHER AVENUE,Yes,12/1/2016,116,4
K,15,K333,P.S. 516 SUNSET PARK AVENUES ELEMENTARY SCHOOL - B,4222 4TH AVENUE,Yes,12/3/2016,109,5
K,16,K335,P.S. 335 - BROOKLYN,130 ROCHESTER AVENUE,Yes,12/7/2016,108,4
K,19,K345,P.S. 345 - BROOKLYN,111 BERRIMAN STREET,Yes,12/6/2016,129,8
K,19,K346,P.S. 346 - BROOKLYN,1400 PENNSYLVANIA AVENUE,Yes,12/6/2016; 12/9/2016,157,7
K,23,K356,P.S. 156 - BROOKLYN,104 SUTTER AVENUE,Yes,12/6/2016,150,16
K,19,K364,I.S. 364 - BROOKLYN,1426 FREEPORT LOOP,Yes,12/6/2016,28,2
K,18,K366,SHIRLEY CHISHOLM CAMPUS - K,965 EAST 107TH STREET,Yes,12/15/2016,98,7
K,15,K369,P.S. 369 (COY COX SCHOOL)-K,383 STATE STREET,Yes,12/6/2016,35,3
K,21,K370,P.S. 370 - BROOKLYN,3000 WEST 1 STREET,Yes,12/17/2016,55,10
K,15,K371,P.S. 371 (OLD 615) - BROOKLYN,355 37 STREET,Yes,12/3/2016,84,14
K,32,K376,P.S. 376A - BROOKLYN,194 HARMAN STREET,Yes,12/7/2016,99,9
K,32,K377,P.S. 377 - BROOKLYN,200 WOODBINE STREET,Yes,12/1/2016,118,14
K,14,K380,P.S. 380 - BROOKLYN,370 MARCY AVENUE,Yes,12/7/2016,148,8
K,32,K383,I.S. 383 - BROOKLYN,1300 GREENE AVENUE,Yes,12/17/2016,149,42
K,32,K384,P.S. 384 - BROOKLYN,242 COOPER STREET,Yes,11/29/2016; 2/17/2017,137,10
K,17,K390,I.S. 390 - BROOKLYN,1224 PARK PLACE,Yes,12/20/2016,87,11
K,17,K391,I.S. 391 - BROOKLYN,790 EAST NEW YORK AVENUE,Yes,12/16/2016,91,11
K,22,K395,P.S./I.S. 395 - BROOKLYN,1001 EAST 45 STREET,Yes,12/15/2016,157,17
K,17,K397,P.S. 397 - BROOKLYN,490 FENIMORE STREET,Yes,12/15/2016,66,3
K,17,K398,P.S. 398 (UDC) - BROOKLYN,60 EAST 94 STREET,Yes,12/20/2016,114,3
K,17,K399,P.S. 399 - BROOKLYN,2707 ALBEMARLE ROAD,Yes,12/10/2016,62,11
K,21,K400,Lafayette Educational Campus,2630 BENSON AVENUE,Yes,12/24/2016,78,17
K,21,K401,LAFAYETTE AF - BROOKLYN,2630 BENSON AVENUE,Yes,12/24/2016,3,1
K,22,K405,MIDWOOD HS - K,2839 BEDFORD AVENUE,Yes,12/20/2016,103,10
K,21,K410,ABRAHAM LINCOLN HS - K,2800 OCEAN PARKWAY,Yes,12/24/2016,180,20
K,21,K411,LINCOLN AF - BROOKLYN,2800 OCEAN PARKWAY,Yes,12/24/2016,9,4
K,18,K415,SAMUEL J. TILDEN EDUCATIONAL CAMPUS - K,5800 TILDEN AVENUE,Yes,12/16/2016,164,28
K,18,K416,TILDEN AF - BROOKLYN,5800 TILDEN AVENUE,Yes,12/16/2016,15,4
K,19,K420,FRANKLIN K. LANE HS - K,999 JAMAICA AVENUE,Yes,12/24/2016,177,41
K,19,K421,FRANKLIN K. LANE AF - BROOKLYN,999 JAMAICA AVENUE,Yes,12/24/2016,9,1
K,19,K422,SPRING CREEK EDUCATIONAL CAMPUS - BROOKLYN,1065 ELTON STREET,Yes,12/7/2016,207,26
K,22,K425,JAMES MADISON HS - K,3787 BEDFORD AVENUE,Yes,12/20/2016; 12/21/2016,153,16
K,22,K426,MADISON AF - BROOKLYN,3787 BEDFORD AVENUE,No,12/20/2016,9,0
K,13,K430,BROOKLYN TECH HS - K,29 FT GREENE PLACE,Yes,2/11/2017; 2/17/2017,228,30
K,17,K434,CROWN HEIGHTS CHARTER SCHOOLS - BROOKLYN,1485 PACIFIC STREET,Yes,4/8/2017,187,4
K,19,K435,THOMAS JEFFERSON HS - K,400 PENNSYLVANIA AVENUE,Yes,1/28/2017,124,23
K,19,K436,JEFFERSON AF - BROOKLYN,125-08 FLATLANDS AVENUE,No,1/28/2017,21,0
K,15,K437,P.S./I.S. 437 - BROOKLYN,713 CATON AVENUE,Yes,12/10/2016,113,4
K,17,K440,PROSPECT HEIGHTS HS - K,883 CLASSON AVENUE,Yes,12/16/2016,242,43
K,20,K445,NEW UTRECHT HS - K,1601 80 STREET,Yes,12/24/2016,137,14
K,20,K446,NEW UTRECHT AF - BROOKLYN,1601 80 STREET,Yes,1/7/2017,4,3
K,14,K450,GRAND STREET CAMPUS (OLD E.D.HS)- K,850 GRAND STREET,Yes,12/24/2016,175,19
K,14,K451,GRAND ST CAMPUS AF(OLD E.D. HS)-K,850 GRAND STREET,No,12/24/2016,3,0
K,20,K453,PRE-K CENTER @8501 5TH AVENUE - BROOKLYN,8501 5TH AVENUE,Yes,12/8/2016,13,4
K,16,K455,BOYS & GIRLS HS - K,1700 FULTON STREET,Yes,1/28/2017,164,7
K,16,K456,BOYS & GIRLS AF - BROOKLYN,1700 FULTON STREET,Yes,3/24/2017,2,2
K,17,K457,BOYS HS AF (OLD) - BROOKLYN,708 MAPLE STREET,Yes,12/8/2016,24,2
K,13,K458,BOYS HS (OLD) - K,832 MARCY AVENUE,Yes,12/8/2016,137,16
K,15,K460,John Jay Educational Campus,237 7 AVENUE,Yes,1/28/2017,144,17
K,17,K465,ERASMUS HALL CAMPUS - K,911 FLATBUSH AVENUE,Yes,12/24/2016; 1/7/2017,179,7
K,21,K466,ERASMUS HALL AF - BROOKLYN,1325 EAST  2 STREET,No,12/17/2016,15,0
K,17,K470,GEORGE W. WINGATE HS - K,600 KINGSTON AVENUE,Yes,12/20/2016,240,28
K,32,K480,BUSHWICK EDUCATIONAL CAMPUS - K,400 IRVING AVENUE,Yes,12/24/2016,145,16
K,20,K485,TELECOM. ARTS & TECH. - K,350 67 STREET,Yes,12/15/2016,131,11
K,20,K486,I.S. 187 - BROOKLYN,1171 65 STREET,Yes,12/13/2016,78,13
K,20,K490,FORT HAMILTON HS - K,8301 SHORE ROAD,Yes,12/24/2016,114,6
K,20,K491,PRE-K CENTER @ 2165 71ST STREET - BROOKLYN,2165 71ST STREET,No,12/8/2016,35,0
K,22,K495,Frank J. Macchiarola Educational Complex,3000 AVENUE X,Yes,12/24/2016,161,18
K,22,K496,SHEEPSHEAD BAY AF - BROOKLYN,3000 AVENUE X,Yes,4/1/2017,1,1
K,18,K500,CANARSIE HS - K,1600 ROCKAWAY PARKWAY,Yes,12/16/2016,248,56
K,20,K505,FRANKLIN D. ROOSEVELT HS - K,5800 20 AVENUE,Yes,1/7/2017,111,3
K,18,K515,SOUTH SHORE EDUCATIONAL CAMPUS - K,6565 FLATLANDS AVENUE,Yes,12/24/2016,207,44
K,18,K516,SOUTH SHORE AF - BROOKLYN,6565 FLATLANDS AVENUE,Yes,12/24/2016,11,3
K,15,K520,PACIFIC ALT HS - K,112 SCHERMERHORN STREET,Yes,12/23/2016,20,3
K,20,K521,P.S. 160 ANNEX - BROOKLYN,1057 52ND STREET,Yes,12/10/2016,125,7
K,21,K525,EDWARD R. MURROW HS - K,1600 AVENUE L,Yes,12/20/2016,351,67
K,22,K535,LEON GOLDSTEIN HS - BROOKLYN,1830 SHORE BOULEVARD,Yes,4/6/2017,99,5
K,21,K540,JOHN DEWEY HS - K,50 AVENUE X,Yes,12/17/2016,163,16
K,22,K555,BKLYN COLL ACAD (AT BKLYN COLL)-K,2900 BEDFORD AVENUE,Yes,3/31/2017,47,4
K,20,K560,PRE-K CENTER @ 550 59 STREET - BROOKLYN,550 59 STREET,No,12/9/2016,57,0
K,15,K564,SUNSET PARK HS - BROOKLYN,153 35TH STREET,Yes,12/10/2016,175,11
K,13,K580,GEORGE WESTINGHOUSE VOC HS - K,105 TECH PLACE,Yes,12/10/2016,190,26
K,17,K590,MIDDLE COLLEGE HS - BROOKLYN,1186 CARROLL STREET,Yes,12/20/2016,142,25
K,21,K597,PRE-K CENTER @2202 60TH STREET - BROOKLYN,2202 60th Street,Yes,12/14/2016,43,1
K,17,K600,CLARA BARTON HS - K,901 CLASSON AVENUE,Yes,12/20/2016,202,57
K,14,K610,AUTOMOTIVE TRADES VOC HS - K,50 BEDFORD AVENUE,Yes,12/17/2016,144,31
K,13,K611,DOCK ST CAMPUS - BROOKLYN,19 DOCK STREET,Yes,12/1/2016,89,1
K,19,K615,E NY VOC HS OF TRANSIT TECH.-K,1 WELLS STREET,Yes,12/10/2016,156,28
K,21,K620,WILLIAM E. GRADY VOC HS - K,25 BRIGHTON 4TH ROAD,Yes,12/20/2016,359,101
K,17,K625,ROBESON HS COMP&BUS TC (A HML)-K,150 ALBANY AVENUE,Yes,12/20/2016,169,64
K,14,K650,HARRY VANARSDALE VOC H (WHITNEY)-K,257 NORTH 6 STREET,Yes,12/10/2016,179,10
K,15,K655,BKLYN HS OF THE ARTS (OL S J HL)-K,345 DEAN STREET,Yes,12/9/2016,117,22
K,15,K656,BKLYN HS OF THE ARTS AX (S J HL)-K,500 PACIFIC STREET,Yes,1/28/2017,64,6
K,19,K660,WILLIAM MAXWELL CTE HS - K,145 PENNSYLVANIA AVENUE,Yes,12/10/2016,170,17
K,21,K662,PRE-K CENTER @AVENUE W - BROOKLYN,385 AVENUE W,No,12/10/2016,10,0
K,20,K664,PRE-K CENTER @ 58TH STREET - BROOKLYN,140 58TH STREET,No,12/9/2016,47,0
K,32,K677,P.S. 677 - BROOKLYN,139 MENAHAN STREET,Yes,12/9/2016,30,1
K,21,K687,PRE-K CENTER @BOUCK COURT - BROOKLYN,10 BOUCK COURT,No,12/8/2016,55,0
K,15,K692,PRE-K CENTER @THIRD AVENUE - BROOKLYN,305-307 THIRD AVENUE,No,12/2/2016,26,0
K,20,K695,PRE-K CENTER @ 1258 65TH STREET - BROOKLYN,1258 65TH STREET,Yes,12/13/2016,65,1
K,22,K705,MIDWOOD HS ADDITION - BROOKLYN,2886 BEDFORD AVENUE,Yes,12/24/2016,48,9
K,21,K721,BROOKLYN STUDIO (TANDEM K128) - K,8310 21ST AVENUE,Yes,12/13/2016,79,26
K,21,K722,P.S. 721 OTC - BROOKLYN,64 AVENUE X,Yes,12/15/2016,178,8
K,21,K728,LIBERATION DIPLOMA PLUS H.S. - K,2865 WEST 19TH STREET,Yes,12/13/2016,20,1
K,22,K729,P.S. 207 ANNEX - BROOKLYN,3874 FLATLANDS AVENUE,Yes,12/10/2016,33,3
K,22,K735,P.S. 245 - BROOKLYN,249 EAST 17TH STREET,Yes,12/16/2016,56,2
K,13,K743,ADULT LRNG CTR (OLD GRLS HS) - K,475 NOSTRAND AVENUE,Yes,12/10/2016,47,16
K,20,K747,PRE-K CENTER @ 21 BAY 11TH STREET - BROOKLYN,21 BAY 11TH STREET,Yes,12/14/2016,61,2
K,15,K749,PRE-K CENTER @25TH STREET - BROOKLYN,173-177 25TH STREET,Yes,12/6/2016,46,1
K,15,K751,PRE-K CENTER @UNION STREET - BROOKLYN,131 UNION STREET,No,12/7/2016,11,0
K,20,K762,PRE-K CENTER @1355 84TH STREET - BROOKLYN,1355 84TH STREET,No,12/13/2016,46,0
K,15,K763,P.S. 118 MAURICE SENDAK COMMUNITY SCHOOL- BROOKLYN,211 8TH STREET,No,11/29/2016,35,0
K,22,K765,PRE-K CENTER @1139 CONEY ISLAND AVENUE - BROOKLYN,1139 CONEY ISLAND AVENUE,Yes,12/8/2016,49,1
K,20,K767,"PRE-K CENTER @1668 46TH STREET, BROOKLYN, NY 11204",1668 46TH STREET,Yes,12/20/2016,46,5
K,20,K768,P.S. 768 - BROOKLYN,7301 15TH AVENUE,Yes,12/10/2016,68,1
K,22,K776,P.S. 152 ANNEX- BROOKLYN,1087 OCEAN AVENUE,No,12/13/2016,23,0
K,14,K778,EL PUENTE HS - BROOKLYN,250 HOOPER STREET,Yes,12/8/2016,37,5
K,32,K779,ALL CITY LEADERSHIP SCHOOL - K,1474 GATES AVENUE,Yes,4/5/2017,27,1
K,20,K780,PRE-K CENTER @FORT HAMILTON PARKWAY - BROOKLYN,7415 FORT HAMILTON PARKWAY,No,12/10/2016,48,0
K,15,K781,WEST BROOKLYN COMMUNITY HS - K,1053 41ST STREET,Yes,12/9/2016,32,4
K,16,K783,Charter School of Excellence - Brooklyn,239 PATCHEN AVENUE,No,4/20/2017,66,0
K,13,K784,ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL - K,510 WAVERLY AVENUE,Yes,4/8/2017,100,2
K,21,K787,PRE-K CENTER @1215 AVENUE X - BROOKLYN,1215 Avenue X,No,12/15/2016,40,0
K,19,K798,Cesiah Toro Mullane School,696 JAMAICA AVENUE,Yes,12/7/2016,148,7
K,32,K799,MELROSE ACADEMY,271 MELROSE STREET,Yes,12/1/2016,10,2
K,15,K804,COBBLE HILL SCL OF AMR STD (OL6)-K,347 BALTIC STREET,Yes,12/3/2016,69,9
K,13,K805,WATER'S EDGE EDUCATIONAL CAMPUS - K,49 FLATBUSH AVENUE EXTENSION,Yes,12/24/2016,146,13
K,15,K806,METROPOLITAN CORPORATE ACAD. - K,362 SCHERMERHORN STREET,Yes,12/1/2016,35,9
K,20,K807,P.S./ I.S. 163 - BROOKLYN,109 BAY 14TH STREET,Yes,12/16/2016,172,5
K,23,K808,LEARNING SUPPORT CENTER - K,1665 ST MARKS AVE,No,12/7/2016,11,0
K,15,K812,P.S. 1 ANNEX - BROOKLYN,411 46 STREET,No,12/8/2016,11,0
K,13,K813,DIST. OFFICE #13 (OLD 9 AX)-K,355 PARK PLACE,No,11/30/2016,14,0
K,19,K814,CYPRESS HILLS COMMUNITY SCHOOL - BROOKLYN,265 WARWICK STREET,Yes,12/7/2016,103,3
K,18,K818,DISTRICT #18 CEC - BROOKLYN,1106 EAST 95 STREET,No,12/13/2016,13,0
K,19,K819,EAST NY FAMILY ACADEMY - K,2057 LINDEN BOULEVARD,Yes,12/1/2016,28,1
K,17,K824,W.E.B. DUBOIS HS - BROOKLYN,402 EASTERN PARKWAY,Yes,12/14/2016,62,6
K,15,K825,SOUTH BROOKLYN COMM. HS - K,173 CONOVER STREET,Yes,4/20/2017,34,2
K,15,K830,P.S. 39 ANNEX (GYM) - BROOKLYN,339 8TH STREET,No,3/31/2017,8,0
K,15,K834,P.S. 372 (OUR LADY OF PEACE)-K,512 CARROLL STREET,Yes,12/2/2016,60,2
K,18,K835,P.S. 235 MINISCHOOL - BROOKLYN,525 LENOX ROAD,Yes,12/8/2016,28,1
K,22,K839,P.S. 134 MINISCHOOL - BROOKLYN,4001 18 AVENUE,Yes,12/13/2016,13,1
K,17,K840,P.S. 241 MINISCHOOL - BROOKLYN,976 PRESIDENT STREET,No,12/14/2016,8,0
K,32,K842,P.S. 45 AX (OLD BS-RDGWD ECC1)-K,1160 DECATUR STREET,No,12/10/2016,12,0
K,19,K843,P.S. 4 (ECC) - BROOKLYN,530 STANLEY AVENUE,No,12/9/2016,6,0
K,15,K845,P.S. 295 - BROOKLYN,330 18 STREET,Yes,12/8/2016,64,2
K,19,K848,P.S. 149 ANNEX - BROOKLYN,373 PENNSYLVANIA AVE,Yes,12/10/2016,28,3
K,22,K849,P.S. 134 - BROOKLYN,4001 18 AVENUE,Yes,12/13/2016,34,2
K,19,K851,P.S. 159 MINISCHOOL - BROOKLYN,2781 PITKIN AVENUE,No,12/1/2016,12,0
K,22,K852,P.S. 326 - BROOKLYN,1800 UTICA AVENUE,Yes,12/15/2016,37,2
K,13,K853,P.S. 93 AX (ECF-BD STUY ECC2)-K,234 HERKIMER STREET,No,12/9/2016,21,0
K,23,K854,P.S. 178 AX (BED STUY ECC 1)-K,1784 PARK PLACE,Yes,12/9/2016,29,5
K,20,K855,P.S. 135/P.S. 235 ANNEX - K,5811 DITMAS AVENUE,Yes,12/8/2016,61,6
K,19,K857,P.S. 36 ANNEX - BROOKLYN,2045 LINDEN BOULEVARD,Yes,12/1/2016,38,4
K,18,K860,P.S. 219 ANNEX - BROOKLYN,9517 KINGS HIGHWAY,No,12/16/2016,20,0
K,22,K864,P.S. 361 (OLD 89) - BROOKLYN,3109 NEWKIRK AVENUE,Yes,12/15/2016,28,2
K,32,K865,SECOND OPPORTUNITY SCHOOL - K,797 BUSHWICK AVENUE,Yes,12/7/2016,56,8
K,19,K866,I.S. 364 AX (POOL&GYM)-BROOKLYN,1540 VAN SICLEN AVE,No,4/6/2017,10,0
K,17,K867,P.S. 138 AX (CROWN HGTS ECC 1)-K,960 PROSPECT PLACE,Yes,12/16/2016,24,3
K,22,K869,P.S. 361 MINISCHOOL - BROOKLYN,3109 NEWKIRK AVENUE,Yes,12/15/2016,20,2
K,15,K871,Pathways to Graduation @ Schermerhorn Street,67-69 SCHERMERHORN STREET,Yes,12/10/2016,24,1
K,19,K872,I.S. 364 ANNEX - BROOKLYN,1461 GENEVA LOOP,Yes,12/9/2016,20,5
K,13,K874,I.S. 340 (OLD 249 AX) - BROOKLYN,227 STERLING PLACE,Yes,12/8/2016,29,9
K,32,K875,P.S. 75 MINISCHOOL - BROOKLYN,95 GROVE STREET,No,12/2/2016,11,0
K,17,K877,P.S. 369 AX-(OL 396X/FLTB TN HL)-K,35 SNYDER AVENUE,Yes,12/8/2016,14,5
K,15,K881,P.S. 1 MINISCHOOL - BROOKLYN,309 47 STREET,No,12/8/2016,11,0
K,17,K883,REGION 6 SUSPENSION CENTER - K,281 ALBANY AVENUE,Yes,12/8/2016,9,6
K,17,K884,EXPLORE CHARTER - K,15 SNYDER AVENUE,Yes,12/14/2016,48,7
K,17,K889,P.S. 189 MINISCHOOL - BROOKLYN,1100 EAST NEW YORK AVENUE,No,12/16/2016,7,0
K,17,K891,P.S. 91 MINISCHOOL - BROOKLYN,532 ALBANY AVENUE,Yes,12/14/2016,13,4
K,17,K892,P.S. 221 MINISCHOOL - BROOKLYN,791 EMPIRE BOULEVARD,Yes,12/15/2016,13,2
K,19,K893,P.S. 213 MINISCHOOL - BROOKLYN,1965 LINDEN BOULEVARD,Yes,Results reported under K213,Results reported under K213,Results reported under K213
K,23,K894,HS FOR PUBLIC SERVICE-ENY - K,1495 HERKIMER STREET,Yes,12/10/2016,41,1
K,15,K896,P.S. 321 MINISCHOOL - BROOKLYN,180 7 AVENUE,No,12/8/2016,16,0
K,22,K905,DISTRICT 22 ECOLOGY CENTER - K,7151 AVE T,Yes,12/16/2016,24,2
K,17,K907,BROWNSVILLE DIPLOMA PLUS HS - K,1150 EAST NEW YORK AVENUE,Yes,12/9/2016,52,14
K,15,K908,P.S. 230 ANNEX - BROOKLYN,425 MCDONALD AVENUE,Yes,12/8/2016,50,7
K,13,K909,ACORN COMMUNITY HS - K,561 GRAND AVENUE,Yes,12/7/2016,74,16
K,32,K913,EBC HS FOR PUBLIC SERV.-BUSHWICK-K,1155 DEKALB AVENUE,Yes,12/8/2016,64,10
K,13,K914,BENJAMIN BANNEKER ACADEMY-BROOKLYN,71-77 CLINTON AVENUE,Yes,12/8/2016,120,15
K,15,K917,BKLYN COLL ACAD (BRIDGES TO K)-K,350 CONEY ISLAND AVENUE,Yes,12/13/2016,62,18
K,19,K932,Belmont- K,619 BELMONT AVENUE,Yes,12/7/2016,23,3
K,21,K937,P.S. 97 TRANSPORTABLE - K,1855 STILLWELL AVENUE,No,12/13/2016,4,0
K,20,K940,I.S. 30 - BROOKLYN,415 OVINGTON AVENUE,Yes,12/14/2016,52,3
K,21,K941,P.S. 209 TRANSPORTABLE - K,2609 EAST 7 STREET,No,12/14/2016,4,0
K,19,K947,EAST NY FAMILY ACADEMY TRANS - K,2057 LINDEN BOULEVARD,No,12/1/2016,12,0
K,21,K951,P.S. 95 TRANSPORTABLE - K,345 VAN SICKLEN STREET,No,12/9/2016,6,0
K,19,K958,P.S. 202 TRANSPORTABLE - K,982 HEGEMAN AVENUE,Yes,11/29/2016,8,1
K,20,K961,P.S. 112 TRANSPORTABLE - K,7115 15 AVENUE,Yes,12/13/2016,2,2
K,21,K964,P.S. 253 TRANSPORTABLE - K,601 OCEANVIEW AVENUE,No,12/15/2016,2,0
K,20,K971,P.S. 971 - BROOKLYN,6214 4TH AVENUE,No,12/13/2016,70,0
K,22,K975,P.S. 236 TRANSPORTABLE - K,6302 AVENUE U,No,12/15/2016,4,0
K,15,K979,P.S. 32 TRANSPORTABLE - K,317 HOYT STREET,No,1/28/2017,16,0
K,16,K987,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY-K,1396 BROADWAY,Yes,12/23/2016,77,4
K,20,K989,P.S. 104/P.S. 185 ANNEX-K,415 89 STREET,Yes,12/20/2016,82,2
K,15,K990,Pave Academy Charter School - Brooklyn,732 HENRY STREET,Yes,4/6/2017,46,1
K,19,K991,P.S. 7 TRANSPORTABLE - K,858 JAMAICA AVENUE,Yes,12/2/2016,7,1
K,13,K994,Bedford Academy - Brooklyn,1119 BEDFORD AVENUE,Yes,12/8/2016,43,7
K,22,K995,LEARNING SUPPORT CENTER - BROOKLYN,5613-19 FLATLANDS AVE,No,12/13/2016,26,0
K,22,K997,BROOKLYN HS SUPERINTENDENT - K,1780 OCEAN AVENUE,Yes,12/8/2016,24,3
K,19,K998,P.S. 159 TRANSPORTABLE - K,2781 PITKIN AVENUE,Yes,3/24/2017,4,1
M,2,M001,P.S. 1 - MANHATTAN,8 HENRY STREET,Yes,1/6/2017,60,3
M,2,M002,P.S. 2 - MANHATTAN,122 HENRY STREET,Yes,1/10/2017,157,5
M,2,M003,P.S. 3 - MANHATTAN,490 HUDSON STREET,Yes,1/21/2017,76,5
M,6,M004,P.S. 4 - MANHATTAN,500 WEST 160 STREET,Yes,1/6/2017,135,10
M,6,M005,P.S. 5 - MANHATTAN,3703 TENTH AVENUE,Yes,1/6/2017,161,5
M,2,M006,P.S. 6 - MANHATTAN,45 EAST 81 STREET,Yes,1/5/2017,139,10
M,4,M007,P.S. 7 - MANHATTAN,160 EAST 120 STREET,Yes,1/21/2017,107,9
M,6,M008,P.S. 8 - MANHATTAN,465 WEST 167 STREET,Yes,1/4/2017,140,6
M,3,M009,P.S. 9 - MANHATTAN,100 WEST 84 STREET,Yes,1/10/2017,115,3
M,5,M010,I.S. 10 (TANDEM M200) - MANHATTAN,2581 7TH AVENUE,Yes,1/11/2017,83,24
M,2,M011,P.S. 11 - MANHATTAN,320 WEST 21 STREET,Yes,1/5/2017; 2/16/2017,104,17
M,4,M013,I.S. 13 - MANHATTAN,1573 MADISON AVENUE,Yes,1/6/2017,123,5
M,1,M015,P.S. 15 - MANHATTAN,333 EAST 4 STREET,Yes,1/6/2017,76,7
M,2,M017,I.S. 17 - MANHATTAN,328 WEST 48 STREET,Yes,1/14/2017,64,10
M,1,M019,P.S. 19 - MANHATTAN,185 1 AVENUE,Yes,1/5/2017,91,1
M,1,M020,P.S. 20 - MANHATTAN,166 ESSEX STREET,Yes,1/6/2017,122,3
M,1,M022,N.E.S.T (OLD J22) - MANHATTAN,111 COLUMBIA STREET,Yes,1/21/2017,114,7
M,1,M025,J.H.S. 25 - MANHATTAN,145 STANTON STREET,Yes,1/28/2017,101,4
M,6,M028,P.S. 28 - MANHATTAN,475 WEST 155 STREET,Yes,1/6/2017,164,2
M,5,M030,P.S. 30 - MANHATTAN,144-176 EAST 128 STREET,Yes,1/21/2017,218,11
M,2,M033,P.S. 33 - MANHATTAN,281 9 AVENUE,Yes,2/11/2017,160,8
M,1,M034,P.S. 34 - MANHATTAN,730 EAST 12 STREET,Yes,1/21/2017,88,4
M,5,M036,P.S. 36 - MANHATTAN,123 MORNINGSIDE DRIVE,Yes,1/5/2017,108,5
M,2,M040,P.S. 40 - MANHATTAN,319 EAST 19 STREET,Yes,1/6/2017,95,5
M,2,M041,P.S. 41 - MANHATTAN,116 WEST 11 STREET,Yes,1/10/2017,123,8
M,2,M042,P.S. 42 - MANHATTAN,71 HESTER STREET,Yes,1/10/2017,66,2
M,5,M043,I.S. 172 (OLD 43) - MANHATTAN,509 WEST 129 STREET,Yes,1/6/2017,69,7
M,3,M044,I.S. 44 - MANHATTAN,100 WEST 77 STREET,Yes,1/14/2017,90,2
M,4,M045,I.S. 45 - MANHATTAN,2351 FIRST AVENUE,Yes,1/11/2017,126,12
M,5,M046,P.S. 46 - MANHATTAN,2987 FREDERICK DOUGLASS BOULEVARD,No,1/11/2017,104,0
M,2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,223 EAST 23 STREET,Yes,1/10/2017,176,14
M,6,M048,P.S. 48 - MANHATTAN,4360-78 BROADWAY,Yes,1/6/2017,145,7
M,4,M050,P.S. 50 (UDC) - MANHATTAN,433 EAST 100 STREET,Yes,1/28/2017,139,17
M,6,M052,I.S. 52 - MANHATTAN,650 ACADEMY STREET,Yes,1/4/2017,70,6
M,3,M054,I.S. 54 - MANHATTAN,103 WEST 107 STREET,Yes,1/21/2017,93,2
M,1,M056,J.H.S. 56 - MANHATTAN,220 HENRY STREET,Yes,1/10/2017,150,29
M,4,M057,P.S. 57 - MANHATTAN,176 EAST 115 STREET,Yes,1/4/2017,137,10
M,2,M058,P.S. 35 (OLD 58/MNHT HS) - M,317 WEST 52ND STREET,Yes,1/10/2017,78,7
M,1,M060,J.H.S. 60 - MANHATTAN,420 EAST 12 STREET,Yes,1/14/2017,75,2
M,1,M061,P.S. 61 - MANHATTAN,610 EAST 12 STREET,Yes,1/6/2017,71,7
M,1,M063,P.S. 63 - MANHATTAN,121 EAST 3 STREET,Yes,1/11/2017; 2/11/2017,69,5
M,1,M064,P.S. 64 (OLD 71) - MANHATTAN,600 EAST 6 STREET,Yes,1/10/2017,113,6
M,2,M066,RICHARD R GREEN HS OF TEACHING - M,421 EAST 88 STREET,Yes,1/5/2017,73,6
M,2,M070,I.S. 70 - MANHATTAN,333 WEST 17 STREET,Yes,1/28/2017,103,8
M,4,M072,P.S. 72 - MANHATTAN,131 EAST 104 STREET,Yes,1/6/2017,63,1
M,3,M075,P.S. 75 - MANHATTAN,735 WEST END AVENUE,Yes,1/10/2017,143,4
M,3,M076,P.S. 76 - MANHATTAN,220 WEST 121 STREET,Yes,1/10/2017,111,2
M,5,M079,P.S. 79 (MULT. HANDICAP) - M,55 EAST 120 STREET,Yes,1/6/2017,102,4
M,3,M081,MID-MAN ADULT LRNG CTR (81) - M,212 WEST 120 STREET,Yes,1/14/2017,57,13
M,4,M083,P.S. 83 - MANHATTAN,219 EAST 109 STREET,Yes,1/5/2017,113,4
